="Balance of attrition on baseline covariates at endline 1 (W3) and endline 2 (W4)"
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.027)   ",="                   ",="                   ",="         (0.029)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.037)   ",="                   ",="                   ",="         (0.039)   "
="W1_loan_nextyr                                    ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.028   ",="                   ",="           0.026   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.004   ",="                   ",="          -0.004   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.018)   ",="                   ",="         (0.018)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.027)   ",="                   ",="         (0.029)   "
="Aggregate Short-Term Aspirations at W1            ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.004   ",="           0.002   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.002   ",="           0.002   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.015)   ",="         (0.020)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.019)   ",="         (0.025)   "
="Constant                                          ",="           0.932***",="           0.911***",="           0.898***",="           0.917***",="           0.873***",="           0.905***",="           0.901***",="           0.908***",="           0.910***",="           0.908***",="           0.907***",="           0.908***",="           0.891***",="           0.900***",="           0.904***",="           0.910***",="           0.901***",="           0.908***",="           0.882***",="           0.820***",="           0.805***",="           0.772***",="           0.814***",="           0.835***",="           0.790***",="           0.780***",="           0.788***",="           0.791***",="           0.791***",="           0.785***",="           0.787***",="           0.765***",="           0.776***",="           0.792***",="           0.791***",="           0.788***",="           0.787***",="           0.900***"
="                                                  ",="         (0.021)   ",="         (0.018)   ",="         (0.018)   ",="         (0.014)   ",="         (0.051)   ",="         (0.009)   ",="         (0.011)   ",="         (0.008)   ",="         (0.008)   ",="         (0.009)   ",="         (0.008)   ",="         (0.008)   ",="         (0.015)   ",="         (0.010)   ",="         (0.009)   ",="         (0.008)   ",="         (0.009)   ",="         (0.008)   ",="         (0.061)   ",="         (0.030)   ",="         (0.027)   ",="         (0.025)   ",="         (0.020)   ",="         (0.071)   ",="         (0.012)   ",="         (0.015)   ",="         (0.011)   ",="         (0.012)   ",="         (0.013)   ",="         (0.012)   ",="         (0.011)   ",="         (0.020)   ",="         (0.014)   ",="         (0.012)   ",="         (0.012)   ",="         (0.013)   ",="         (0.011)   ",="         (0.087)   "
="R-squared                                         ",="           0.028   ",="           0.027   ",="           0.027   ",="           0.028   ",="           0.028   ",="           0.028   ",="           0.028   ",="           0.028   ",="           0.028   ",="           0.028   ",="           0.027   ",="           0.027   ",="           0.029   ",="           0.029   ",="           0.028   ",="           0.028   ",="           0.029   ",="           0.027   ",="           0.038   ",="           0.039   ",="           0.038   ",="           0.038   ",="           0.040   ",="           0.038   ",="           0.038   ",="           0.038   ",="           0.039   ",="           0.040   ",="           0.039   ",="           0.038   ",="           0.038   ",="           0.039   ",="           0.039   ",="           0.038   ",="           0.038   ",="           0.038   ",="           0.038   ",="           0.051   "
="N                                                 ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1286   ",="            1236   ",="            1299   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1221   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1286   ",="            1236   ",="            1299   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1301   ",="            1221   "
="Mean of Dependent Variable in Control Group       ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="F-test (p-value): All Cov = 0                     ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="f_Miss_x                                          ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="* p<0.10, ** p<0.05, *** p<0.01"
