="Heterogeneity in treatment effects on bisasp by BMasp12 BMasp BMcse BMloc BMseff BMprob at First Endline (W3) and Second Endline (W4)"
="                                                  ",="         (0.082)   ",="       (191.527)   ",="        (53.986)   ",="         (1.758)   ",="         (0.161)   ",="         (6.608)   ",="         (0.102)   ",="         (2.965)   ",="         (0.232)   ",="        (10.826)   ",="         (0.087)   ",="       (195.182)   ",="        (52.511)   ",="         (1.823)   ",="         (0.171)   ",="         (7.205)   ",="         (0.110)   ",="         (3.094)   ",="         (0.250)   ",="        (11.454)   ",="         (0.062)   ",="        (70.589)   ",="        (57.367)   ",="         (1.691)   ",="         (0.179)   ",="         (5.801)   ",="         (0.090)   ",="         (2.891)   ",="         (0.208)   ",="        (12.525)   ",="         (0.065)   ",="        (74.720)   ",="        (57.748)   ",="         (1.652)   ",="         (0.183)   ",="         (5.989)   ",="         (0.088)   ",="         (2.792)   ",="         (0.215)   ",="        (11.672)   ",="         (0.081)   ",="       (104.790)   ",="        (81.006)   ",="         (2.214)   ",="         (0.215)   ",="         (7.992)   ",="         (0.133)   ",="         (4.316)   ",="         (0.253)   ",="        (20.786)   ",="         (0.088)   ",="       (107.894)   ",="        (72.386)   ",="         (2.252)   ",="         (0.199)   ",="         (8.796)   ",="         (0.110)   ",="         (3.724)   ",="         (0.247)   ",="        (17.425)   "
="B_BMasp12                                         ",="          -0.086   ",="         -39.652   ",="         -62.804   ",="           0.321   ",="          -0.234   ",="         -26.075***",="          -0.421***",="          -7.685** ",="          -0.758***",="         -36.629***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.085)   ",="        (74.284)   ",="        (44.545)   ",="         (2.081)   ",="         (0.179)   ",="         (7.501)   ",="         (0.096)   ",="         (3.241)   ",="         (0.247)   ",="         (9.175)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BM_BMasp12                                        ",="           0.037   ",="         -66.464   ",="         -56.198   ",="           0.588   ",="          -0.083   ",="         -14.297*  ",="          -0.210** ",="          -6.328*  ",="          -0.195   ",="         -17.014   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.082)   ",="        (70.469)   ",="        (54.089)   ",="         (1.973)   ",="         (0.142)   ",="         (8.376)   ",="         (0.092)   ",="         (3.229)   ",="         (0.194)   ",="        (10.720)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BC_BMasp12                                        ",="          -0.087   ",="          82.611   ",="          52.628   ",="          -3.953** ",="          -0.313   ",="         -19.018***",="          -0.236** ",="          -7.200** ",="          -0.242   ",="         -15.917*  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.099)   ",="        (68.636)   ",="        (47.267)   ",="         (1.981)   ",="         (0.206)   ",="         (7.050)   ",="         (0.093)   ",="         (3.408)   ",="         (0.214)   ",="         (8.216)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BMC_BMasp12                                       ",="          -0.085   ",="        -176.395   ",="         -66.150   ",="          -1.628   ",="          -0.279   ",="         -19.187***",="          -0.300***",="          -7.152** ",="          -0.420*  ",="         -26.339** ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.093)   ",="       (190.167)   ",="        (53.153)   ",="         (1.880)   ",="         (0.180)   ",="         (7.112)   ",="         (0.104)   ",="         (2.912)   ",="         (0.253)   ",="        (11.446)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="B_BMasp                                           ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.188** ",="        -131.142*  ",="        -124.304***",="          -3.108   ",="          -0.208   ",="         -27.558***",="          -0.361***",="          -5.816*  ",="          -0.570** ",="         -35.592***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
