="Balance of attrition on baseline covariates at endline 1 (W3) and endline 2 (W4)"
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.000)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.000)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.000)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.000)   "
="Respondent Years of Education at W1               ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.003   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.003   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.004   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.003   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.002)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.002)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.003)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.003)   "
="Digit Span (0-8 Scale)                            ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.001   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.003   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.007   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.000   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.006)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.007)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.010)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.011)   "
="Systematic Working Style (0-10 Scale)             ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.002   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.001   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.002   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.004   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.002)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.002)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.003)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.003)   "
="And in general regarding all possible situations? ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.002   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.001   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.003   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.004   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.003)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.003)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.004)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.004)   "
="And in general regarding all possible situations? ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.003   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.002   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.007   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.007   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.003)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.004)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.005)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.005)   "
="W1_motive_entrep                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="           0.018   ",="                   ",="                   ",="                   ",="                   ",="           0.016   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.017   ",="                   ",="                   ",="                   ",="                   ",="          -0.021   "
="                                                  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.020)   ",="                   ",="                   ",="                   ",="                   ",="         (0.021)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="         (0.032)   ",="                   ",="                   ",="                   ",="                   ",="         (0.034)   "
