="Heterogeneity in treatment effects on bisasp by BMasp12 BMasp BMcse BMloc BMseff BMprob at First Endline (W3) and Second Endline (W4)"
="                                                  ",="         (0.082)   ",="       (191.527)   ",="        (53.986)   ",="         (1.758)   ",="         (0.161)   ",="         (6.608)   ",="         (0.102)   ",="         (2.965)   ",="         (0.232)   ",="        (10.826)   ",="         (0.087)   ",="       (195.182)   ",="        (52.511)   ",="         (1.823)   ",="         (0.171)   ",="         (7.205)   ",="         (0.110)   ",="         (3.094)   ",="         (0.250)   ",="        (11.454)   ",="         (0.072)   ",="        (69.324)   ",="        (57.364)   ",="         (1.811)   ",="         (0.164)   ",="         (7.519)   ",="         (0.087)   ",="         (2.787)   ",="         (0.196)   ",="        (11.690)   ",="         (0.062)   ",="        (72.410)   ",="        (54.795)   ",="         (1.554)   ",="         (0.174)   ",="         (5.686)   ",="         (0.085)   ",="         (2.672)   ",="         (0.206)   ",="        (11.050)   ",="         (0.108)   ",="        (99.276)   ",="        (81.130)   ",="         (2.549)   ",="         (0.189)   ",="        (11.809)   ",="         (0.123)   ",="         (4.033)   ",="         (0.234)   ",="        (18.133)   ",="         (0.103)   ",="        (93.319)   ",="        (72.074)   ",="         (2.388)   ",="         (0.169)   ",="        (11.082)   ",="         (0.100)   ",="         (3.589)   ",="         (0.220)   ",="        (14.466)   "
="B_BMasp12                                         ",="          -0.086   ",="         -39.652   ",="         -62.804   ",="           0.321   ",="          -0.234   ",="         -26.075***",="          -0.421***",="          -7.685** ",="          -0.758***",="         -36.629***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.085)   ",="        (74.284)   ",="        (44.545)   ",="         (2.081)   ",="         (0.179)   ",="         (7.501)   ",="         (0.096)   ",="         (3.241)   ",="         (0.247)   ",="         (9.175)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BM_BMasp12                                        ",="           0.037   ",="         -66.464   ",="         -56.198   ",="           0.588   ",="          -0.083   ",="         -14.297*  ",="          -0.210** ",="          -6.328*  ",="          -0.195   ",="         -17.014   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.082)   ",="        (70.469)   ",="        (54.089)   ",="         (1.973)   ",="         (0.142)   ",="         (8.376)   ",="         (0.092)   ",="         (3.229)   ",="         (0.194)   ",="        (10.720)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BC_BMasp12                                        ",="          -0.087   ",="          82.611   ",="          52.628   ",="          -3.953** ",="          -0.313   ",="         -19.018***",="          -0.236** ",="          -7.200** ",="          -0.242   ",="         -15.917*  ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.099)   ",="        (68.636)   ",="        (47.267)   ",="         (1.981)   ",="         (0.206)   ",="         (7.050)   ",="         (0.093)   ",="         (3.408)   ",="         (0.214)   ",="         (8.216)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="BMC_BMasp12                                       ",="          -0.085   ",="        -176.395   ",="         -66.150   ",="          -1.628   ",="          -0.279   ",="         -19.187***",="          -0.300***",="          -7.152** ",="          -0.420*  ",="         -26.339** ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="                                                  ",="         (0.093)   ",="       (190.167)   ",="        (53.153)   ",="         (1.880)   ",="         (0.180)   ",="         (7.112)   ",="         (0.104)   ",="         (2.912)   ",="         (0.253)   ",="        (11.446)   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
="B_BMasp                                           ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="          -0.188** ",="        -131.142*  ",="        -124.304***",="          -3.108   ",="          -0.208   ",="         -27.558***",="          -0.361***",="          -5.816*  ",="          -0.570** ",="         -35.592***",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   ",="                   "
